planet_name,orbital_period,planet_radius,planet_mass,star_temperature,star_radius,distance
HD 207897 b,16.20166,2.34302132,14.8,5106,0.7827,28.2938
HD 20794 b,18.314,1.45,2.7,5368,0.93,6.00278
HD 20794 d,89.68,2.04,4.8,5368,0.93,6.00278
HD 20794 e,147.02,2.03,4.77,5401,0.93,6.00278
HD 20794 f,647.6,2.28,5.82,5368,0.93,6.00278
HD 208487 b,129.36,14.3,146.2010672,6134,1.16,45.147
HD 208527 b,875.5,12.5,3146.4,4035,51.1,312.202
HD 20868 b,380.85001,13.7,397.2875,4802,0.76,47.7223
HD 208897 b,358.27,13.7,379.487118,4860,4.98,67.4872
HD 209458 b,3.52474859,15.58051,232.0159,6091,1.19,48.3016
HD 210193 b,649.918,14.3,153.1,5790,1.05971,42.2029
HD 210277 b,442.19,13.6,410.0007,5538,1.07,21.2985
HD 210702 b,355.5,13.6,481.5100366,4912,4.54,54.1963
HD 211403 b,223.8,12.8,1760.769375,6273,1.206,83.0919
HD 211810 b,1558,14,212.9461,5652,1.13,64.6353
HD 211970 b,25.201,3.66,13,4127,0.574175,13.1277
HD 212301 b,2.24571,14.2,162.0933,6239,1.16,54.2304
HD 212771 b,380.7,13.3,759.6137,5003,5.27,111.155
HD 213240 b,882.70001,12.8,1655.886,5979,1.51,40.8707
HD 213472 b,17000,13.1,1112.399425,5729.54,1.433902,64.4527
HD 213519 b,11.12214,2.99,9.2170238,5840,1.08287,41.0014
HD 213885 b,1.008035,1.745,8.83,5978,1.1011,48.0883
HD 213885 c,4.78503,4.71,19.95,5978,1.1011,48.0883
HD 21411 b,84.288,9.52,65.9,5605,0.825605,29.1328
HD 214823 b,1854.84424,12.1,5914.786654,6215,2.04,101.368
HD 215152 b,5.75999,,565.4167361,4935,0.73,21.5974
HD 215152 c,7.28243,,468.7969003,4935,0.73,21.5974
HD 215152 d,10.86499,,770.4160586,4935,0.73,21.5974
HD 215152 e,25.1967,,975.4153811,4935,0.73,21.5974
HD 21520 b,25.1292,2.697,17.7,5871,1.044,79.208
HD 215497 b,3.93404,,1588.824207,5110,0.85,40.5468
HD 215497 c,566,13,111.2399425,5113,0.85,40.5468
HD 216435 b,1311,13.7,400.4,5999,1.800029,32.9834
HD 216437 b,1359,13,1334.879309,5909,1.394,26.6902
HD 216520 b,35.45,3.18,10.26,5103,0.76,19.552
HD 216520 c,154.43,3.03,9.44,5103,0.76,19.552
HD 216536 b,148.60001,13.8,333.7215,4639,9.83,376.233
HD 216770 b,118.45,14.1,181.1631,5399,0.93,36.6625
HD 21693 b,22.6786,2.8,8.23,5430,0.914378,33.255
HD 21693 c,53.7357,4.34,17.37,5430,0.914378,33.255
HD 217107 b,7.1270166,13.6,459.5798765,5622,1.2245,20.0619
HD 217107 c,5138.7,12.9,1388.910139,5622,1.2245,20.0619
HD 21749 c,7.78993,0.892,3.7,4640,0.695,16.32
HD 217786 b,1301.36009,12.3,4402.559094,5966,1.27,55.4847
HD 217786 c,2.52221,2.61,7.31005336,5966,1.27,55.4847
HD 217958 b,2560.19774,14.2,166.5420853,5930.64,1.32619,61.7957
HD 218566 b,225.7,9.32,63.566,4730,0.85,28.8274
HD 219077 b,5478.68861,12.5,3057.509275,5362,1.91,29.1864
HD 219134 b,3.092926,1.602,4.74,4699,0.778,6.53127
HD 219134 c,6.76458,1.511,4.36,4699,0.778,6.53127
HD 219134 d,46.859,1.61,16.17,4699,0.778,6.53127
HD 219134 f,22.717,1.31,7.3,4699,0.778,6.53127
HD 219134 g,94.2,3.28,10.80622,4913,0.77,6.53127
HD 219134 h,2247,12.7,108.0622,4913,0.77,6.53127
HD 219139 b,275.5,14,247.9061575,4831,11.22,104.935
HD 219415 b,2093.3,13.8,317.83,4820,2.9,165.184
HD 219666 b,6.034468,4.898,17.6,5540,1.059,94.1719
HD 219828 b,3.83483,4.59,19.06970442,5891,1.56,73.114
HD 219828 c,4789.87297,12.2,5102.417246,5891,1.56,73.114
HD 220074 b,672.09998,12.2,5288.6912,3787,54.92,324.54
HD 220197 b,1728,9.32,63.566,5683,0.98,64.411
HD 220689 b,2266.4,13.7,381.3940884,5921,1.068,46.8778
HD 220773 b,3724.7,13.6,460.8,5940,1.679696,50.5103
HD 220842 b,218.47,13.1,1010.6994,5960,1.41647,64.6498
HD 221287 b,456.1,13.1,982.05,6304,1.13864,55.9231
HD 221416 b,14.2767,9.17,60.5,5080,2.943,95.5483
HD 221420 b,10090,12,7278.27052,5847,1.947,31.1415
HD 221585 b,1173,13.5,511.7063,5620,1.850575,55.8535
HD 222076 b,871,13.5,495.8148,4806,4.1,91.1538
HD 222155 b,3999,13.4,581.6259848,5701,1.85,50.6078
HD 222237 b,14892,12.8,1649.529432,4751,0.71,11.4469
HD 222582 b,572.38,12.6,2660.2371,5790,1.13,42.1586
HD 224018 b,10.6413,0.91,4.1,5784,1.147,105.48
HD 224018 c,36.57669,2.42,10.4,5784,1.147,105.48
HD 224018 d,138.0731,2.4,4.2,5784,1.147,105.48
HD 224538 b,1202.05199,12.7,2075.737326,6097,1.54,79.0608
HD 224693 b,26.6904,14,222.481,5894,1.93,93.5015
HD 22496 b,5.09071,2.22,5.57,4385,0.674,13.5956
HD 22532 b,872.6,13.4,673.7962228,5038,5.69,161.183
HD 22781 b,528.07,12.3,4338.2,5027,0.743475,32.6034
HD 22946 d,47.42489,2.607,26.57,6169,1.117,62.7792
HD 23079 b,735.74,13.2,845.4235626,5994,1.08,33.4591
HD 23079 c,5.748913,2.8,8.26,5994,1.08,33.4591
HD 23127 b,1211.17,13.5,485.32641,5843,1.49,93.8555
HD 231701 b,141.63,13.7,359.1479,6101,1.53,108.877
HD 233604 b,192,12.7,2089.644,4791,10.9,847.058
HD 233832 b,2058,13.5,565.7374,4981,0.68,58.742
HD 23472 b,17.667087,2,8.32,4684,0.71,39.0341
HD 23472 c,29.79749,1.87,3.41,4684,0.71,39.0341
HD 23472 d,3.97664,0.75,0.55,4684,0.71,39.0341
HD 23472 e,7.90754,0.818,0.72,4684,0.71,39.0341
HD 23472 f,12.1621839,1.137,0.77,4684,0.71,39.0341
HD 235088 b,7.4341325,1.982,4.15,5075,0.772,41.1706
HD 23596 b,1535.11912,12.4,3786.607641,6040,1.53,52.0018
HD 238090 b,13.671,2.52,6.89,3933,0.57,15.2354
HD 238914 b,4100,12.8,1906.98,4769,12.73,519.452
HD 240210 b,501.75,12.8,1655.82,4297,25.456816,372.405
HD 240237 b,745.70001,12.2,5050.3187,3926,71.23,933.377
HD 24040 b,3668,12.9,1589.142035,5802,1.3,46.6224
HD 24040 c,515.4,9.35,63.88350981,5776.49,1.387296,46.6224
HD 24064 b,535.59998,12.3,4096.8287,4052,40,300.247
HD 24085 b,2.0455,3.46,11.8,6034,1.412551,54.9004
HD 25015 b,6134.427,12.5,2884.92845,5160,0.83,37.433
HD 25171 b,1802.29,13.9,290.81445,6125,1.23,55.6146
HD 25463 b,7.0491423,2.54535814,8.7,6353,1.4182,45.6181
HD 25463 c,3.04405,1.36354953,4.3,6353,1.4182,45.6181
HD 25723 b,457.01,13.3,794.5710175,4766,13.76,114.816
HD 25912 b,41.83156,6.9,38.13940884,5920.58,0.995896,49.1661
HD 25912 c,26308.65619,12.2,5252.750082,5920.58,0.995896,49.1661
HD 260655 b,2.76953,1.24,2.14,3803,0.439,10.0055
HD 260655 c,5.70588,1.533,3.09,3803,0.439,10.0055
HD 26161 b,10942.29013,11.9,9045.396463,6057.62,1.455981,40.9128
HD 2638 b,3.4442,14.3,133.4886,5186,0.94,54.9621
HD 2685 b,4.12688,16.14096,371.8611,6801,1.56,196.852
HD 27442 b,428.1,13.5,495.8,4846,3.18,18.2704
HD 27631 b,2198.14,13.5,495.8123149,5737,0.923,50.2862
HD 27894 b,18.01939,14.1,196.7357839,4875,0.891767,43.8214
HD 27894 c,36.07,8.24,51.48846,4875,0.891767,43.8214
HD 27894 d,5019.54244,12.7,2063.659847,4875,0.891767,43.8214
HD 27969 b,654.5,12.9,1525.576354,5966,1.27,67.9328
HD 28109 b,22.891054,2.69,6.2,6189,1.425,139.611
HD 28109 c,55.99712,4.13,9.2,6189,1.425,139.611
HD 28109 d,84.2899,3.11,5.8,6189,1.425,139.611
HD 28185 b,385.92,12.8,1859.296181,5602,1.048,39.3809
HD 28185 c,9090,12.8,1906.970442,5602,1.048,39.3809
HD 28192 b,14.23283,12.2,99.7981198,5919.87,1.07094,49.8063
HD 28254 b,1333,13,1207.747947,5664,1.48,55.2884
HD 284149 AB b,,12,8352.530536,6035,1.36,117.807
HD 28471 b,3.1649,1.75,3.72,5766,1.08,43.6455
